Item,Item Code
Bananas,486
"Beans, green",414
Cabbages and other brassicas,358
Carrots and turnips,426
Cassava,125
"Chillies and peppers, green",401
Cotton lint,767
Cottonseed,329
Cucumbers and gherkins,397
Eggplants (aubergines),399
"Fruit, tropical fresh nes",603
Lemons and limes,497
Maize,56
"Mangoes, mangosteens, guavas",571
"Melons, other (inc.cantaloupes)",568
"Onions, dry",403
Pineapples,574
"Pumpkins, squash and gourds",394
Seed cotton,328
Sugar cane,156
Sweet potatoes,122
Taro (cocoyam),136
Tomatoes,388
"Vegetables, fresh nes",463
Yams,137
Cereals (Rice Milled Eqv),1817
"Cereals,Total",1717
"Citrus Fruit,Total",1804
"Coarse Grain, Total",1814
Fibre Crops Primary,1753
"Fruit excl Melons,Total",1801
Oilcakes Equivalent,1841
Oilcrops Primary,1732
"Roots and Tubers,Total",1720
Vegetables Primary,1735
"Vegetables&Melons, Total",1800
"Almonds, with shell",221
"Anise, badian, fennel, coriander",711
Apples,515
Apricots,526
Artichokes,366
Asparagus,367
Avocados,572
Barley,44
"Beans, dry",176
"Broad beans, horse beans, dry",181
Canary seed,101
Castor oil seed,265
"Cereals, nes",108
Cherries,531
Chick peas,191
"Chillies and peppers, dry",689
Fibre crops nes,821
Figs,569
Flax fibre and tow,773
Garlic,406
Grapefruit (inc. pomelos),507
Grapes,560
"Groundnuts, with shell",242
Hops,677
Lentils,201
Linseed,333
Lupins,210
Matï¿½,671
Millet,79
Oats,75
Oilseeds nes,339
Olives,260
Oranges,490
Papayas,600
Peaches and nectarines,534
Pears,521
"Peas, dry",187
"Peas, green",417
Peppermint,748
Plums and sloes,536
Potatoes,116
Quinces,523
Rapeseed,270
"Rice, paddy",27
Rye,71
Safflower seed,280
Sorghum,83
Soybeans,236
"Spices, nes",723
Strawberries,544
String beans,423
Sunflower seed,267
"Tangerines, mandarins, clementines, satsumas",495
Tea,667
"Tobacco, unmanufactured",826
Tung nuts,275
"Walnuts, with shell",222
Watermelons,567
Wheat,15
"Pulses,Total",1726
"Treenuts,Total",1729
Coconuts,249
Lettuce and chicory,372
Okra,430
"Onions, shallots, green",402
Pigeon peas,197
Plantains,489
"Fruit, fresh nes",619
"Maize, green",446
"Pulses, nes",211
"Cashew nuts, with shell",217
"Cocoa, beans",661
"Coffee, green",656
"Roots and tubers, nes",149
Yautia (cocoyam),135
"Brazil nuts, with shell",216
Cauliflowers and broccoli,393
"Cherries, sour",530
Chestnut,220
Pepper (piper spp.),687
"Pyrethrum, dried",754
Quinoa,92
"Rubber, natural",836
Sesame seed,289
"Vegetables, leguminous nes",420
"Bastfibres, other",782
Buckwheat,89
Cashewapple,591
"Fruit, stone nes",541
"Gums, natural",839
Jute,780
"Nuts, nes",234
"Oil, palm",257
"Oil, palm fruit",254
Palm kernels,256
Persimmons,587
Ramie,788
Sisal,789
Triticale,97
Jute & Jute-like Fibres,1751
Berries nes,558
Blueberries,552
Cranberries,554
"Grain, mixed",103
Kiwi fruit,592
"Leeks, other alliaceous vegetables",407
Mushrooms and truffles,449
Mustard seed,292
Raspberries,547
Spinach,373
Sugar beet,157
"Fruit, citrus nes",512
Currants,550
"Hazelnuts, with shell",225
Hemp tow waste,777
Hempseed,336
Agave fibres nes,800
Dates,577
"Sugar crops, nes",161
Ginger,720
Manila fibre (abaca),809
Cinnamon (canella),693
"Nutmeg, mace and cardamoms",702
Cloves,698
Vanilla,692
"Cow peas, dry",195
Chicory roots,459
Carobs,461
Jojoba seed,277
Melonseed,299
Pistachios,223
Vetches,205
Fonio,94
Karite nuts (sheanuts),263
Kola nuts,224
Bambara beans,203
Cassava leaves,378
Coir,813
Areca nuts,226
Tallowtree seed,305
Poppy seed,296
Kapok fibre,778
Kapok fruit,310
Kapokseed in shell,311
Gooseberries,549
"Fruit, pome nes",542
